asv_id	ePA1_lib1	ePA2_lib1	ePA3_lib1	ePA4_lib1	ePA5_lib1	ePA7_lib1	ePA8_lib1	ePA10_lib1	ePA11_lib1	ePA12_lib1	ePB1_lib1	ePB2_lib1	ePB3_lib1	ePB5_lib1	ePB6_lib1	ePB7_lib1	ePB8_lib1	ePB9_lib1	ePB10_lib1	ePB11_lib1	ePB12_lib1	ePC1_lib1	eSA3_lib1	eSA4_lib1	eSA5_lib1	eSA6_lib1	eSA7_lib1	eSA8_lib1	eSA9_lib1	eSA10_lib1	eSA11_lib1	eSA12_lib1	eSB1_lib1	eSB2_lib1	eSB3_lib1	eSB4_lib1	eSB5_lib1	eSB6_lib1	eSB7_lib1	eSB8_lib1	eSB10_lib1	eSB11_lib1	eSB12_lib1	eSC1_lib1	eSC3_lib1	eSC6_lib1	eSC7_lib1	eSC8_lib1	eSC9_lib1	eSC10_lib1	eSC11_lib1	eSC12_lib1	eLA2_lib1	eLA3_lib1	eLA4_lib1	eLA5_lib1	eLA6_lib1	eLA7_lib1	eLA8_lib1	eLA9_lib1	eLA10_lib1	eLA11_lib1	eLA12_lib1	eLB1_lib1	eLB2_lib1	eLB3_lib1	eLB4_lib1	eLB5_lib1	eLB6_lib1	eLB7_lib1	eLB8_lib1	eLB9_lib1	eLB10_lib1	eLB11_lib1	eLB12_lib1	eLC1_lib2	eLC2_lib2	eLC3_lib2	eLC4_lib2	eLC5_lib2	eLC6_lib2	eLC7_lib2	eLC8_lib2	eLC9_lib2	eLC10_lib2	eLC11_lib2	eLC12_lib2	eNA3_lib2	eNA4_lib2	eNA5_lib2	eNA6_lib2	eNA7_lib2	eNA8_lib2	eNA9_lib2	eNA10_lib2	eNA11_lib2	eNA12_lib2	eNB1_lib2	eNB2_lib2	eNB3_lib2	eNB4_lib2	eNB5_lib2	eNB6_lib2	eNB7_lib2	eNB8_lib2	eNB9_lib2	eNB10_lib2	eNB11_lib2	eNB12_lib2	eNAC1_lib2	eNAC3_lib2	eNAC4_lib2	eNAC5_lib2	eNAC6_lib2	eNAC7_lib2	eNAC8_lib2	eNAC9_lib2	eNAC10_lib2	eNAC11_lib2	iPA2_lib2	iPA3_lib2	iPA4_lib2	iPA5_lib2	iPB2_lib2	iPB3_lib2	iPB4_lib2	iPB5_lib2	iPB6_lib2	iPB7_lib2	iPB8_lib2	iPB10_lib2	iPB11_lib2	iPC1_lib2	iPC10_lib2	iSA1_lib2	iSA2_lib2	iSA3_lib2	iSA4_lib2	iSA5_lib2	iSA6_lib2	iSA7_lib2	iSA8_lib2	iSA9_lib2	iSA10_lib2	iSA11_lib2	iSA12_lib2	SB1_lib3	SB2_lib3	SB3_lib3	SB4_lib3	SB6_lib3	SB7_lib3	SC1_lib3	SC2_lib3	SC3_lib3	SC4_lib3	SC5_lib3	SC7_lib3	SC8_lib3	SC9_lib3	SC10_lib3	SC11_lib3	LA1_lib3	LA3_lib3	LA4_lib3	LA5_lib3	LA6_lib3	LB1_lib3	LB2_lib3	LB3_lib3	LB4_lib3	LB5_lib3	LB6_lib3	LB7_lib3	LB8_lib3	LC1_lib3	LC3_lib3	LC4_lib3	LC6_lib3	LC7_lib3	LC8_lib3	LC10_lib3	LC12_lib3	NA1_lib3	NA2_lib3	NA3_lib3	NA4_lib3	NA5_lib3	NA6_lib3	NA7_lib3	NA8_lib3	NA9_lib3	NA10_lib3	NA11_lib3	NA12_lib3	NB2_lib3	NB3_lib3	NB4_lib3	NB5_lib3	NB6_lib3	NB7_lib3	NB8_lib3	NAC1_lib3	NAC2_lib3	NAC3_lib3	NAC4_lib3	NAC5_lib3	NAC6_lib3	NAC7_lib3	NAC8_lib3	NAC9_lib3	NAC10_lib3	NAC11_lib3	NAC12_lib3
ASV_421	1273	94	83	37	100	55	47	2	0	16	222	136	690	16	19	6	6	36	0	20	62	4	4	21	7	0	1	17	0	0	0	10	422	9	8	0	2	1	1	3	0	2	8	1097	6	1	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	90	0	46	310	229	23	0	0	0	0	0	48	1	0	135	24	0	10	1	0	0	0	0	0	0	0	532	3	1	0	0	0	653	15	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	64	144	58	766	208	73	185	0	0	0	0	0	0	0	0	13	103	8	0	0	0	1	193	1020	499	2405	395	290	63	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	74	23	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	2	18	173	140	473	150	338	294	242	107	1	17	39	197	103	418	957	455	265	12	11	7	1	1	1	34	128	548	116	326	62	63	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	4	48	7	10	22	13	2	6	18	22	98	6	27	0	0	0	0	5	17	18	12	25	41	6	12
ASV_478	4	63	441	129	42	3	1	0	0	0	0	2	124	218	3	3	8	35	0	0	1	0	139	348	369	56	311	137	43	9	6	4	0	0	1	1	1	0	0	0	0	0	0	433	296	21	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	149	109	25	0	46	41	33	0	0	0	92	0	0	0	113	402	77	240	101	56	42	69	35	0	0	10	0	0	0	0	0	0	191	146	254	537	69	29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	346	1339	197	197	490	489	181	329	73	65	0	2	106	655	159	74	4	7	3	1	0	2	1	23	219	216	100	67	3	3	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	29	127	10	28	10	36	8	11	12	1	3	18	135	13	12	0	0	0	0	21	90	120	4	0	0	6	0	0	0
ASV_486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	21	109	92	436	302	472	718	339	402	0	0	0	1	0	1	104	75	223	50	113	0	1	0	0	2	10	249	401	403	380	421	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	20	97	15	25	118	6	0	0	0	0	0	12	12	0	0	0	0	0	0	3	12	0	93	0	13
ASV_614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	6	4	4	72	156	337	615	231	491	7	29	43	196	86	318	682	647	358	58	154	0	1	0	0	2	6	9	2	19	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	12	3	12	30	12	19	18	52	17	47	29	51	0	0	0	1	1	2	0	0	0	8	0	0
ASV_649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	241	160	395	424	448	192	0	0	0	0	8	149	221	442	272	28	88	0	1	0	1	0	0	37	137	212	338	58	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	88	19	71	55	22	0	0	1	5	60	40	76	0	0	0	0	0	0	1	10	0	215	0	4
ASV_652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	3	0	0	0	0	0	2	50	786	272	219	18	5	2	4	7	0	4	1	0	1	1	30	5	33	0	2	0	1	2	0	39	81	511	150	423	327	1534	1	0	0	0	0	1	19	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	55	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	6	13	17	63	20	65
ASV_679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	0	27	224	190	186	16	21	15	13	4	0	0	1	1	1	1	0	6	11	4	5	3	0	0	178	722	494	883	158	368	216	532	0	0	0	0	1	0	7	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	12	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	51	65	35	15	11	10	42	10	48
ASV_685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	1	0	0	0	0	154	1272	294	38	31	14	102	113	35	124	4	17	22	54	2	4	6	1	11	0	1	0	1	5	461	831	29	32	5	1	0	10	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	113	31	0	0	0	0	11	13	0	10	10	7	3	0	0	0	0	1	1	464	104	7	1	0	0	0	0	2
ASV_687	14	18	37	0	9	6	16	5	0	0	1	0	31	3	0	0	0	0	13	0	6	19	9	11	1	0	2	2	0	0	0	0	165	28	9	23	1	1	0	1	1	0	2	28	6	0	0	0	0	0	0	0	115	96	1	0	0	0	0	0	0	0	0	809	1255	11	20	6	2	0	0	3	23	0	0	478	47	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	13	10	98	0	3	16	0	0	0	0	0	0	0	1	0	20	23	0	1	1	0	12	0	0	0	0	0	166	30	0	1	0	0	8	0	2	0	0	0	0	0	0	0	140	48	20	0	0	239	127	6	0	11	0	0	0	69	0	0	0	3	15	0	0	103	8	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0
ASV_739	24	151	94	15	42	3	3	0	0	0	1	1	140	70	3	0	1	0	0	0	0	0	130	62	20	0	9	5	0	0	0	2	1	0	2	0	0	0	1	0	0	0	0	1623	147	4	0	0	0	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	42	79	16	7	46	10	0	0	48	0	0	0	0	0	31	248	48	48	2	0	1	0	0	0	0	1	0	4	0	0	0	0	879	111	140	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
