asv_id	Kingdom	Phylum	Class	Order	Family	Genus
ASV_35371	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__NA	g__NA
ASV_35394	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_35402	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_35403	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_35453	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_35517	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_35552	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_35592	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_35594	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_35664	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_35945	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus_Nitrososphaera
ASV_36009	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_36027	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_36138	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_36350	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_36366	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_36385	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium
ASV_36554	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_36758	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Marine_Benthic_Group_A	f__NA	g__NA
ASV_36774	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Marine_Benthic_Group_A	f__NA	g__NA
ASV_36910	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_36990	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_37152	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_37286	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_37346	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus_Nitrososphaera
ASV_37443	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus_Nitrososphaera
ASV_37469	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_37880	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_37881	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__NA	g__NA
ASV_38086	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_38087	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_38092	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_38243	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_38336	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_38346	k__Archaea	p__Crenarchaeota	c__NA	o__NA	f__NA	g__NA
ASV_38491	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_38752	k__Archaea	p__Crenarchaeota	c__Bathyarchaeia	o__NA	f__NA	g__NA
ASV_38754	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Marine_Benthic_Group_D_and_DHVEG-1	f__NA	g__NA
ASV_38767	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_39030	k__Archaea	p__Thermoplasmatota	c__Thermoplasmatota_cl	o__Thermoplasmatota_or	f__Thermoplasmatota_fa	g__NA
ASV_39317	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_39448	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__NA	g__NA
ASV_39536	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_39591	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_40165	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_40194	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_40252	k__Archaea	p__Halobacterota	c__Halobacteria	o__Halobacterales	f__Halomicrobiaceae	g__NA
ASV_40277	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_40352	k__Archaea	p__Thermoplasmatota	c__Thermoplasmatota_cl	o__Thermoplasmatota_or	f__Thermoplasmatota_fa	g__NA
ASV_40410	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter
ASV_40645	k__Archaea	p__Halobacterota	c__Halobacteria	o__Halobacterales	f__Haloadaptaceae	g__Haladaptatus
ASV_40827	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium
ASV_40829	k__Archaea	p__Halobacterota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiales_fa	g__NA
ASV_40837	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Marine_Benthic_Group_D_and_DHVEG-1	f__NA	g__NA
ASV_40839	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium
ASV_40924	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_40996	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_41298	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_41332	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_41505	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__NA	g__NA
ASV_41516	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_41517	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Marine_Benthic_Group_D_and_DHVEG-1	f__NA	g__NA
ASV_41568	k__Archaea	p__Halobacterota	c__Halobacteria	o__Halobacterales	f__NA	g__NA
ASV_41729	k__Archaea	p__Crenarchaeota	c__NA	o__NA	f__NA	g__NA
ASV_41739	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_41760	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrosotaleales	f__Nitrosotaleaceae	g__Candidatus_Nitrosotalea
ASV_41918	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
