"ePA1_lib1"	"ePA2_lib1"	"ePA3_lib1"	"ePA4_lib1"	"ePA5_lib1"	"ePB1_lib1"	"ePB2_lib1"	"ePB3_lib1"	"ePB5_lib1"	"ePC1_lib1"	"eSA3_lib1"	"eSA4_lib1"	"eSA5_lib1"	"eSB1_lib1"	"eSB2_lib1"	"eSB3_lib1"	"eSB4_lib1"	"eSB5_lib1"	"eSC1_lib1"	"eSC3_lib1"	"eLA2_lib1"	"eLA3_lib1"	"eLA4_lib1"	"eLA5_lib1"	"eLB1_lib1"	"eLB2_lib1"	"eLB3_lib1"	"eLB4_lib1"	"eLB5_lib1"	"eLC1_lib2"	"eLC2_lib2"	"eLC3_lib2"	"eLC4_lib2"	"eLC5_lib2"	"eNA3_lib2"	"eNA4_lib2"	"eNA5_lib2"	"eNB1_lib2"	"eNB2_lib2"	"eNB3_lib2"	"eNB4_lib2"	"eNB5_lib2"	"eNAC1_lib2"	"eNAC3_lib2"	"eNAC4_lib2"	"eNAC5_lib2"	"iPA2_lib2"	"iPA3_lib2"	"iPA4_lib2"	"iPA5_lib2"	"iPB2_lib2"	"iPB3_lib2"	"iPB4_lib2"	"iPB5_lib2"	"iPC1_lib2"	"iSA1_lib2"	"iSA2_lib2"	"iSA3_lib2"	"iSA4_lib2"	"iSA5_lib2"	"SB1_lib3"	"SB2_lib3"	"SB3_lib3"	"SB4_lib3"	"SC1_lib3"	"SC2_lib3"	"SC3_lib3"	"SC4_lib3"	"SC5_lib3"	"LA1_lib3"	"LA3_lib3"	"LA4_lib3"	"LA5_lib3"	"LB1_lib3"	"LB2_lib3"	"LB3_lib3"	"LB4_lib3"	"LB5_lib3"	"LC1_lib3"	"LC3_lib3"	"LC4_lib3"	"NA1_lib3"	"NA2_lib3"	"NA3_lib3"	"NA4_lib3"	"NA5_lib3"	"NB2_lib3"	"NB3_lib3"	"NB4_lib3"	"NB5_lib3"	"NAC1_lib3"	"NAC2_lib3"	"NAC3_lib3"	"NAC4_lib3"	"NAC5_lib3"
"ASV_435"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_469"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	3	1	9	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	4	0	0	0	0	0
"ASV_478"	1	10	46	30	9	0	1	15	5	0	10	6	16	0	0	0	0	0	9	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	39	19	19	0	9	12	14	0	10	19	8	17	15	0	0	0	0	5	24	26	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_484"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	11	1	0	0	8	16	10	0	16	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	3	1	4	22	1	0	0	10	9	9
"ASV_486"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ASV_614"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	2	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	6	3	2	0	0	0	0	0
"ASV_649"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ASV_652"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0
"ASV_679"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	9
"ASV_685"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	5	3	1	0	0	0	1	4	19	19	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	8	10	2	2	0	0	0	1	1	46	10
