"ASV","in_current_60cm_table","total_reads_60cm","abundance_rank_60cm","read_share_60cm","Kingdom","Phylum","Class","Order","Family","Genus","reference_tip","distance","specialist_group.iDNA","indval.iDNA","pvalue.iDNA","freq.iDNA","specialist_group.eDNA","indval.eDNA","pvalue.eDNA","freq.eDNA","module_color.iDNA","module_number.iDNA","module_color.eDNA","module_number.eDNA"
"ASV_743",TRUE,130,31,0.00677436164669099,"k__Archaea","p__Crenarchaeota","c__NA","o__NA","f__NA","g__NA","UncE8450",0.06036,NA,NA,NA,NA,"NB",0.996698612104089,0.003,9,"turquoise",8,"yellow",NA
"ASV_1585",TRUE,129,32,0.00672225117248567,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc0iisj",0.02108,NA,NA,NA,NA,NA,NA,NA,NA,"yellow",9,"black",NA
"ASV_5247",TRUE,129,33,0.00672225117248567,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc04cuz",0.04742,NA,NA,NA,NA,NA,NA,NA,NA,"grey",10,"red",NA
"ASV_7348",TRUE,117,35,0.00609692548202189,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","Unc04bn2",0.02001,"NB",0.952058190063293,0.005,7,NA,NA,NA,NA,"red",7,"green",NA
"ASV_2413",TRUE,115,36,0.00599270453361126,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrososphaera","UncCr933",0.02459,NA,NA,NA,NA,NA,NA,NA,NA,"brown",3,"red",NA
"ASV_1541",TRUE,114,37,0.00594059405940594,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc03g52",0.09782,"SG",1,0.001,5,NA,NA,NA,NA,"green",4,"magenta",NA
"ASV_2325",TRUE,110,38,0.00573215216258468,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","UniArc32",0.00997,"SG",1,0.001,5,"SG",0.986186645249176,0.001,8,"pink",6,"brown",NA
"ASV_1317",TRUE,103,39,0.00536737884314747,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Group_1.1c","f__NA","g__NA","UncC1570",0.01064,NA,NA,NA,NA,"NB",0.988284102516114,0.001,8,"turquoise",8,"yellow",NA
"ASV_5195",TRUE,101,41,0.00526315789473684,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc03pua",0.0154,NA,NA,NA,NA,"AZ",0.953698590694326,0.002,8,"black",1,"turquoise",NA
"ASV_3787",TRUE,97,42,0.00505471599791558,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","UniArc37",0.01355,NA,NA,NA,NA,NA,NA,NA,NA,"yellow",9,"green",NA
"ASV_2034",TRUE,95,43,0.00495049504950495,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmatota_cl","o__Thermoplasmatota_or","f__Thermoplasmatota_fa","g__NA","UncE8635",0.01966,NA,NA,NA,NA,NA,NA,NA,NA,"green",4,"turquoise",NA
"ASV_3464",TRUE,95,44,0.00495049504950495,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmatota_cl","o__Thermoplasmatota_or","f__Thermoplasmatota_fa","g__NA","UncE8635",0.02127,NA,NA,NA,NA,NA,NA,NA,NA,"green",4,"brown",NA
"ASV_1079",TRUE,93,47,0.00484627410109432,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc047y0",0.02208,NA,NA,NA,NA,NA,NA,NA,NA,"blue",2,"blue",NA
"ASV_2389",TRUE,87,50,0.00453361125586243,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrososphaera","UniArc39",0.02641,NA,NA,NA,NA,NA,NA,NA,NA,"yellow",9,"green",NA
"ASV_4336",TRUE,84,52,0.00437727983324648,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrososphaera","Unc04cwl",0.02936,NA,NA,NA,NA,"AZ",0.827405199579543,0.005,9,"magenta",5,"turquoise",NA
"ASV_3614",TRUE,83,53,0.00432516935904117,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc03qhr",0.00842,NA,NA,NA,NA,"SG",0.91682108673924,0.007,9,"pink",6,"brown",NA
"ASV_11078",TRUE,74,59,0.00385617509119333,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","Unc04b9n",0.027,"NB",0.953345907298123,0.001,8,NA,NA,NA,NA,"red",7,"green",NA
"ASV_5287",TRUE,71,60,0.00369984366857738,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","Unc04bn2",0.01685,NA,NA,NA,NA,"SG",0.835320343885936,0.002,12,"green",4,"brown",NA
"ASV_8226",TRUE,66,63,0.00343929129755081,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","Unc04b9n",0.02838,"NB",0.961500597135688,0.001,8,NA,NA,NA,NA,"red",7,"green",NA
"ASV_1125",TRUE,65,64,0.00338718082334549,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrosotaleales","f__Nitrosotaleaceae","g__Candidatus_Nitrosotalea","Unc04brs",0.01207,NA,NA,NA,NA,"NB",0.999167881511573,0.002,6,"turquoise",8,"yellow",NA
"ASV_1184",TRUE,64,65,0.00333507034914018,"k__Archaea","p__Crenarchaeota","c__NA","o__NA","f__NA","g__NA","UncE8450",0.04514,NA,NA,NA,NA,"NB",0.991598749606309,0.001,8,"turquoise",8,"yellow",NA
"ASV_3474",TRUE,64,66,0.00333507034914018,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Group_1.1c","f__NA","g__NA","UncC1570",0.00667,NA,NA,NA,NA,"NB",0.998836809543378,0.001,6,"turquoise",8,"yellow",NA
"ASV_10298",TRUE,63,67,0.00328295987493486,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","UncCr971",0.02617,NA,NA,NA,NA,NA,NA,NA,NA,"red",7,"green",NA
"ASV_6896",TRUE,57,68,0.00297029702970297,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc078y1",0.01428,NA,NA,NA,NA,"LC",0.806746661908283,0.032,13,"yellow",9,"red",NA
"ASV_781",TRUE,56,69,0.00291818655549765,"k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__NA","f__NA","g__NA","UncE8450",0.06108,NA,NA,NA,NA,"NB",0.994169135083031,0.001,6,"blue",2,"blue",NA
"ASV_4136",TRUE,55,71,0.00286607608129234,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","UncAr551",0.00916,NA,NA,NA,NA,NA,NA,NA,NA,"green",4,"turquoise",NA
"ASV_3593",TRUE,53,74,0.00276185513288171,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrososphaera","UncCr933",0.02316,NA,NA,NA,NA,NA,NA,NA,NA,"pink",6,"turquoise",NA
"ASV_5315",TRUE,49,79,0.00255341323606045,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc04c2y",0.02208,NA,NA,NA,NA,"SG",0.910470563303384,0.002,9,"pink",6,"brown",NA
"ASV_5253",TRUE,48,81,0.00250130276185513,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrososphaera","Unc04acr",0.0011,"SG",1,0.002,5,NA,NA,NA,NA,"green",4,"magenta",NA
"ASV_679",TRUE,47,82,0.00244919228764982,"k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__NA","f__NA","g__NA","UncE8450",0.06108,NA,NA,NA,NA,NA,NA,NA,NA,"blue",2,"blue",NA
"ASV_3509",TRUE,46,83,0.0023970818134445,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc03g52",0.06995,"SG",1,0.001,5,NA,NA,NA,NA,"green",4,"magenta",NA
"ASV_8396",TRUE,46,84,0.0023970818134445,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","Unc04bn2",0.01101,NA,NA,NA,NA,"LC",0.818588369416097,0.012,11,"green",4,"red",NA
"ASV_1044",TRUE,45,86,0.00234497133923919,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrosotaleales","f__Nitrosotaleaceae","g__Candidatus_Nitrosotalea","Unc04cfc",0.01106,NA,NA,NA,NA,"NB",0.966021784453961,0.001,9,"blue",2,"blue",NA
"ASV_5114",TRUE,44,88,0.00229286086503387,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmatota_cl","o__Thermoplasmatota_or","f__Thermoplasmatota_fa","g__NA","UncE8635",0.01747,NA,NA,NA,NA,NA,NA,NA,NA,"brown",3,"turquoise",NA
"ASV_3420",TRUE,43,91,0.00224075039082856,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc03g52",0.07576,"SG",0.963549174177784,0.001,7,"SG",0.945083789297667,0.001,11,"green",4,"magenta",NA
"ASV_6803",TRUE,43,93,0.00224075039082856,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc04cnw",0.05316,"NB",0.963230409531515,0.001,7,NA,NA,NA,NA,"turquoise",8,NA,NA
"ASV_16463",TRUE,43,94,0.00224075039082856,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","UncCr971",0.01646,NA,NA,NA,NA,NA,NA,NA,NA,"red",7,"green",NA
"ASV_10399",TRUE,41,95,0.00213652944241793,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","Unc04b9n",0.03317,NA,NA,NA,NA,NA,NA,NA,NA,"red",7,"red",NA
"ASV_6582",TRUE,35,104,0.00182386659718603,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","UncE8635",0.01092,"SG",0.826210452604602,0.001,8,NA,NA,NA,NA,"green",4,"brown",NA
"ASV_7729",TRUE,33,110,0.0017196456487754,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__NA","g__NA","Unc03g52",0.07392,NA,NA,NA,NA,NA,NA,NA,NA,"green",4,"magenta",NA
"ASV_652",TRUE,32,111,0.00166753517457009,"k__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__NA","f__NA","g__NA","UncE8450",0.04911,NA,NA,NA,NA,"NB",0.978984686815159,0.001,9,"black",1,"blue",NA
"ASV_1744",TRUE,32,113,0.00166753517457009,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc03g52",0.09385,"SG",0.996260911257677,0.001,6,"SG",0.8579002705541,0.004,13,"brown",3,"brown",NA
"ASV_16233",TRUE,32,115,0.00166753517457009,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrososphaera","UncCr933",0.02856,NA,NA,NA,NA,NA,NA,NA,NA,"yellow",9,"red",NA
"ASV_2865",TRUE,31,116,0.00161542470036477,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc03g52",0.06201,NA,NA,NA,NA,NA,NA,NA,NA,"brown",3,"magenta",NA
"ASV_18615",TRUE,31,117,0.00161542470036477,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","UncE8635",0.01449,"NB",1,0.001,5,NA,NA,NA,NA,"turquoise",8,"green",NA
"ASV_8062",TRUE,30,121,0.00156331422615946,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","UncE8635",0.05072,NA,NA,NA,NA,NA,NA,NA,NA,"red",7,"red",NA
"ASV_9252",TRUE,29,123,0.00151120375195414,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc04c2y",0.02605,NA,NA,NA,NA,NA,NA,NA,NA,"pink",6,"brown",NA
"ASV_18289",TRUE,28,128,0.00145909327774883,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__NA","g__NA","Unc03g52",0.0837,"NB",1,0.002,5,NA,NA,NA,NA,"turquoise",8,"green",NA
"ASV_14386",TRUE,27,130,0.00140698280354351,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrososphaera","Unc04cwl",0.03333,NA,NA,NA,NA,"AZ",0.97187790232931,0.001,7,"magenta",5,"turquoise",NA
"ASV_4064",TRUE,23,143,0.00119854090672225,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc03g52",0.10179,"SG",1,0.001,5,NA,NA,NA,NA,"brown",3,"magenta",NA
"ASV_13050",TRUE,22,152,0.00114643043251694,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","Unc04bn2",0.00661,NA,NA,NA,NA,NA,NA,NA,NA,"pink",6,"brown",NA
"ASV_12710",TRUE,21,157,0.00109431995831162,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc0iisj",0.00906,NA,NA,NA,NA,NA,NA,NA,NA,"pink",6,"magenta",NA
